2000, 0.05, 0.0
3000, 0.05, 1.004
4000, 0.05, 1.784
5000, 0.05, 2.356
6000, 0.05, 3.027
7000, 0.05, 2.839
8000, 0.05, 2.557
9000, 0.05, 4.518
10000, 0.05, 4.548
11000, 0.05, 6.499
12000, 0.05, 6.021
13000, 0.05, 7.718
14000, 0.05, 8.753
15000, 0.05, 7.467
16000, 0.05, 12.267

2000, 0.055, 0.738
3000, 0.055, 1.182
4000, 0.055, 1.093
5000, 0.055, 1.915
6000, 0.055, 2.148
7000, 0.055, 2.588
8000, 0.055, 2.823
9000, 0.055, 4.189
10000, 0.055, 5.989
11000, 0.055, 11.492
12000, 0.055, 5.938
13000, 0.055, 7.926
14000, 0.055, 8.636
15000, 0.055, 8.195
16000, 0.055, 7.762

2000, 0.06, 0.651
3000, 0.06, 1.505
4000, 0.06, 1.333
5000, 0.06, 2.919
6000, 0.06, 2.799
7000, 0.06, 0.0
8000, 0.06, 3.361
9000, 0.06, 4.308
10000, 0.06, 6.085
11000, 0.06, 8.514
12000, 0.06, 5.568
13000, 0.06, 8.377
14000, 0.06, 7.716
15000, 0.06, 11.495
16000, 0.06, 10.649

2000, 0.065, 0.612
3000, 0.065, 0.0
4000, 0.065, 1.514
5000, 0.065, 1.85
6000, 0.065, 2.066
7000, 0.065, 2.969
8000, 0.065, 3.387
9000, 0.065, 4.533
10000, 0.065, 5.582
11000, 0.065, 6.225
12000, 0.065, 4.627
13000, 0.065, 5.909
14000, 0.065, 8.423
15000, 0.065, 8.392
16000, 0.065, 9.312

2000, 0.07, 0.0
3000, 0.07, 1.067
4000, 0.07, 1.881
5000, 0.07, 1.969
6000, 0.07, 3.192
7000, 0.07, 2.62
8000, 0.07, 4.532
9000, 0.07, 4.249
10000, 0.07, 5.723
11000, 0.07, 5.631
12000, 0.07, 6.428
13000, 0.07, 5.396
14000, 0.07, 8.753
15000, 0.07, 9.284
16000, 0.07, 9.57

