105, 85
110, 86
113, 86
111, 87
115, 88
115, 88
115, 89
114, 90
117, 91
120, 92
119, 92
121, 93
123, 94
121, 94
120, 95
122, 96
127, 96
122, 97
126, 98
134, 99
138, 99
133, 99
129, 100
135, 101
127, 102
129, 102
136, 103
129, 104
140, 104
135, 105
131, 105
135, 106
136, 107
136, 108
139, 108
138, 109
136, 110
134, 110
136, 111
138, 111
138, 112
138, 112
138, 112
140, 113
146, 114
142, 115
142, 115
148, 116
145, 117
144, 118
142, 118
146, 119
144, 119
146, 120
146, 120
146, 121
146, 121
146, 122
148, 123
146, 123
150, 124
148, 124
146, 125
152, 125
150, 126
154, 127
150, 127
150, 128
154, 128
154, 129
154, 129
152, 130
152, 130
154, 131
154, 131
152, 131
158, 132
158, 132
154, 132
158, 133
154, 133
154, 133
158, 134
156, 134
158, 134
158, 134
158, 135
158, 135
158, 135
158, 135
158, 136
158, 136
158, 136
154, 137
158, 137
158, 137
158, 137
162, 138
