2000, 0.05, 1.058
2000, 0.055, 0.547
2000, 0.06, 0.938
2000, 0.065, 0.625
2000, 0.07, 0.0
2000, 0.075, 0.0
2000, 0.08, 0.0
2000, 0.085, 0.532
2000, 0.09, 0.515
2000, 0.095, 0.547
2000, 0.1, 0.656
2000, 0.105, 0.797
2000, 0.11, 0.0
2000, 0.115, 0.687
2000, 0.12, 0.782
3000, 0.05, 0.797
3000, 0.055, 1.0
3000, 0.06, 0.844
3000, 0.065, 1.862
3000, 0.07, 0.969
3000, 0.075, 0.0
3000, 0.08, 0.97
3000, 0.085, 0.64
3000, 0.09, 0.923
3000, 0.095, 1.64
3000, 0.1, 1.298
3000, 0.105, 1.454
3000, 0.11, 0.72
3000, 0.115, 0.766
3000, 0.12, 1.031
4000, 0.05, 1.83
4000, 0.055, 1.265
4000, 0.06, 1.454
4000, 0.065, 1.531
4000, 0.07, 0.0
4000, 0.075, 1.861
4000, 0.08, 1.218
4000, 0.085, 1.642
4000, 0.09, 1.672
4000, 0.095, 1.611
4000, 0.1, 1.454
4000, 0.105, 1.376
4000, 0.11, 0.0
4000, 0.115, 1.657
4000, 0.12, 1.64
5000, 0.05, 2.625
5000, 0.055, 1.643
5000, 0.06, 1.503
5000, 0.065, 1.844
5000, 0.07, 2.642
5000, 0.075, 1.737
5000, 0.08, 2.144
5000, 0.085, 1.969
5000, 0.09, 1.673
5000, 0.095, 1.626
5000, 0.1, 1.513
5000, 0.105, 2.063
5000, 0.11, 0.0
5000, 0.115, 2.563
5000, 0.12, 2.628
6000, 0.05, 2.408
6000, 0.055, 2.015
6000, 0.06, 2.924
6000, 0.065, 2.362
6000, 0.07, 2.423
6000, 0.075, 2.173
6000, 0.08, 2.344
6000, 0.085, 0.0
6000, 0.09, 2.641
6000, 0.095, 0.0
6000, 0.1, 0.0
6000, 0.105, 1.876
6000, 0.11, 3.408
6000, 0.115, 2.563
6000, 0.12, 2.673
7000, 0.05, 3.55
7000, 0.055, 2.987
7000, 0.06, 2.501
7000, 0.065, 3.048
7000, 0.07, 2.454
7000, 0.075, 3.063
7000, 0.08, 3.157
7000, 0.085, 3.283
7000, 0.09, 3.188
7000, 0.095, 2.782
7000, 0.1, 3.783
7000, 0.105, 2.97
7000, 0.11, 2.938
7000, 0.115, 3.142
7000, 0.12, 2.736
8000, 0.05, 4.969
8000, 0.055, 4.236
8000, 0.06, 2.953
8000, 0.065, 3.705
8000, 0.07, 2.721
8000, 0.075, 3.533
8000, 0.08, 3.158
8000, 0.085, 3.642
8000, 0.09, 3.423
8000, 0.095, 2.592
8000, 0.1, 3.752
8000, 0.105, 3.062
8000, 0.11, 4.236
8000, 0.115, 3.532
8000, 0.12, 2.843
9000, 0.05, 4.748
